title,author,views,likes,link,month,year
3 steps to stop remote work burnout,Morra Aarons-Mele,769000,23000,https://ted.com/talks/morra_aarons_mele_3_steps_to_stop_remote_work_burnout,October,2020
Countdown Global Launch 2020,TED,113000,3300,https://ted.com/talks/ted_countdown_global_launch_2020,October,2020
"""What a Wonderful World""",Cynthia Erivo and Gary Motley,16000,488,https://ted.com/talks/cynthia_erivo_and_gary_motley_what_a_wonderful_world,October,2020
Why act now?,Kristen Bell + Giant Ant,162000,4800,https://ted.com/talks/kristen_bell_giant_ant_why_act_now,October,2020
"""Home to You"" / ""Don't Kill My Vibe""", Sigrid,107000,3200,https://ted.com/talks/sigrid_home_to_you_don_t_kill_my_vibe,October,2020
"Can we create the ""perfect"" farm?",Brent Loken,1200000,37000,https://ted.com/talks/brent_loken_can_we_create_the_perfect_farm,October,2020
"A ""forest generation"" living in harmony with nature",Ernestine Leikeki Sevidzem,132000,3900,https://ted.com/talks/ernestine_leikeki_sevidzem_a_forest_generation_living_in_harmony_with_nature,October,2020
"""True Love"" / ""Africa""",Yemi Alade,75000,2200,https://ted.com/talks/yemi_alade_true_love_africa,October,2020
"""Fight For You""",Raye Zaragoza,54000,1600,https://ted.com/talks/raye_zaragoza_fight_for_you,October,2020
Where does all the carbon we release go?,Kristen Bell + Giant Ant,186000,5500,https://ted.com/talks/kristen_bell_giant_ant_where_does_all_the_carbon_we_release_go,October,2020
Why is 1.5 degrees such a big deal?,Kristen Bell + Giant Ant,212000,6300,https://ted.com/talks/kristen_bell_giant_ant_why_is_1_5_degrees_such_a_big_deal,October,2020
The joy of taking out the trash,Aparna Nancherla,1300000,41000,https://ted.com/talks/aparna_nancherla_the_joy_of_taking_out_the_trash,October,2020
If trees could speak,Elif Shafak,267000,8000,https://ted.com/talks/elif_shafak_if_trees_could_speak,October,2020
Kids are speaking up for the environment. Let's listen,Olafur Eliasson,179000,5300,https://ted.com/talks/olafur_eliasson_kids_are_speaking_up_for_the_environment_let_s_listen,October,2020
"""Luna Negra"" / ""Carita de Inocente"" / ""Corazón Sin Cara"" / ""Darte un Beso""",Prince Royce,106000,3100,https://ted.com/talks/prince_royce_luna_negra_carita_de_inocente_corazon_sin_cara_darte_un_beso,October,2020
The state of the climate crisis	in 2020,Climate Action Tracker,240000,7200,https://ted.com/talks/climate_action_tracker_the_state_of_the_climate_crisis_in_2020,October,2020
What is net-zero?,Kristen Bell + Giant Ant,213000,6400,https://ted.com/talks/kristen_bell_giant_ant_what_is_net_zero,October,2020
Why is the world warming up?,Kristen Bell + Giant Ant,252000,7500,https://ted.com/talks/kristen_bell_giant_ant_why_is_the_world_warming_up,October,2020
How Ikea is growing its business while shrinking emissions,Jesper Brodin and Pia Heidenmark Cook,157000,4700,https://ted.com/talks/jesper_brodin_and_pia_heidenmark_cook_how_ikea_is_growing_its_business_while_shrinking_emissions,October,2020
A game that lets you decide how to tackle the climate crisis,Cassie Flynn,2500,75,https://ted.com/talks/cassie_flynn_a_game_that_lets_you_decide_how_to_tackle_the_climate_crisis,September,2019
"The life unfolding inside your cells, revealed in 3D",Gokul Upadhyayula,187000,5600,https://ted.com/talks/gokul_upadhyayula_the_life_unfolding_inside_your_cells_revealed_in_3d,March,2020
"What causes panic attacks, and how can you prevent them?",Cindy J. Aaronson,3000000,91000,https://ted.com/talks/cindy_j_aaronson_what_causes_panic_attacks_and_how_can_you_prevent_them,October,2020
Civilization on the Moon — and what it means for life on Earth,Jessy Kate Schingler,1500000,46000,https://ted.com/talks/jessy_kate_schingler_civilization_on_the_moon_and_what_it_means_for_life_on_earth,May,2020
What kids can teach adults about asking for help,YeYoon Kim,1600000,50000,https://ted.com/talks/yeyoon_kim_what_kids_can_teach_adults_about_asking_for_help,September,2020
"Who owns the ""wilderness""?",Elyse Cox,293000,8700,https://ted.com/talks/elyse_cox_who_owns_the_wilderness,October,2020
The myth of the stolen eyeballs,Nathan D. Horowitz,1000000,30000,https://ted.com/talks/nathan_d_horowitz_the_myth_of_the_stolen_eyeballs,October,2020
"An illustrated kingdom of real, fantastical plants",Nirupa Rao,259000,7700,https://ted.com/talks/nirupa_rao_an_illustrated_kingdom_of_real_fantastical_plants,February,2020
Racism thrives on silence — speak up!,Dexter Dias,1600000,50000,https://ted.com/talks/dexter_dias_racism_thrives_on_silence_speak_up,June,2020
The surprising effects of pregnancy,TED-Ed,6300000,190000,https://ted.com/talks/ted_ed_the_surprising_effects_of_pregnancy,October,2020
"The neuroscience of psychedelic drugs, music and nostalgia",Frederick Streeter Barrett,293000,8800,https://ted.com/talks/frederick_streeter_barrett_the_neuroscience_of_psychedelic_drugs_music_and_nostalgia,March,2020
The lie that invented racism,John Biewen,2200000,66000,https://ted.com/talks/john_biewen_the_lie_that_invented_racism,November,2019
The problem with the U.S. bail system,Camilo Ramirez,381000,11000,https://ted.com/talks/camilo_ramirez_the_problem_with_the_u_s_bail_system,September,2020
A global movement to solve global problems,Colombe Cahen-Salvador,1500000,47000,https://ted.com/talks/colombe_cahen_salvador_a_global_movement_to_solve_global_problems,May,2020
Performing brain surgery without a scalpel,Hyunsoo Joshua No,245000,7300,https://ted.com/talks/hyunsoo_joshua_no_performing_brain_surgery_without_a_scalpel,September,2020
"The ancient, earth-friendly wisdom of Mongolian nomads",Khulan Batkhuyag,1600000,49000,https://ted.com/talks/khulan_batkhuyag_the_ancient_earth_friendly_wisdom_of_mongolian_nomads,September,2020
"""Taranta"" / ""Calblanque""	",Antonio Muñoz Fernández,4100,123,https://ted.com/talks/antonio_munoz_fernandez_taranta_calblanque,July,2020
How humanity can reach the stars,Philip Lubin,337000,10000,https://ted.com/talks/philip_lubin_how_humanity_can_reach_the_stars,July,2020
"The World Machine | Think Like A Coder, Ep 10",Alex Rosenthal,283000,8500,https://ted.com/talks/alex_rosenthal_the_world_machine_think_like_a_coder_ep_10,September,2020
Why we must confront the painful parts of US history,Hasan Kwame Jeffries,1900000,57000,https://ted.com/talks/hasan_kwame_jeffries_why_we_must_confront_the_painful_parts_of_us_history,February,2020
3 secrets to Netflix's success,Reed Hastings,1800000,55000,https://ted.com/talks/reed_hastings_3_secrets_to_netflix_s_success,September,2020
Is human evolution speeding up or slowing down?,Laurence Hurst,2200000,66000,https://ted.com/talks/laurence_hurst_is_human_evolution_speeding_up_or_slowing_down,September,2020
The psychological traits that shape your political beliefs,Dannagal G. Young,1800000,56000,https://ted.com/talks/dannagal_g_young_the_psychological_traits_that_shape_your_political_beliefs,May,2020
Is life meaningless? And other absurd questions,Nina Medvinskaya,2200000,67000,https://ted.com/talks/nina_medvinskaya_is_life_meaningless_and_other_absurd_questions,September,2020
"""Jabberwocky"": One of literature's best bits of nonsense",Lewis Carroll,569000,17000,https://ted.com/talks/lewis_carroll_jabberwocky_one_of_literature_s_best_bits_of_nonsense,September,2020
"If you adults won't save the world, we will",Xiye Bastida,1700000,51000,https://ted.com/talks/xiye_bastida_if_you_adults_won_t_save_the_world_we_will,July,2020
"""The Muse"" / ""Spring Song""",Sheku Kanneh-Mason and Isata Kanneh-Mason,3200,98,https://ted.com/talks/sheku_kanneh_mason_and_isata_kanneh_mason_the_muse_spring_song,May,2020
Kid Cudi goes back to high school — and shares what he's learned,Kid Cudi,7300000,219000,https://ted.com/talks/kid_cudi_kid_cudi_goes_back_to_high_school_and_shares_what_he_s_learned,February,2015
Secrets of the mind and free will — revealed by magic tricks,Alice Pailhès,374000,11000,https://ted.com/talks/alice_pailhes_secrets_of_the_mind_and_free_will_revealed_by_magic_tricks,May,2020
What role does luck play in your life?,Barry Schwartz,559000,16000,https://ted.com/talks/barry_schwartz_what_role_does_luck_play_in_your_life,May,2020
Why do we blame individuals for economic crises?,Liene Ozoliņa,1600000,49000,https://ted.com/talks/liene_ozolina_why_do_we_blame_individuals_for_economic_crises,November,2019
A day in the life of an ancient Greek architect,Mark Robinson,380000,11000,https://ted.com/talks/mark_robinson_a_day_in_the_life_of_an_ancient_greek_architect,September,2020
You shouldn't have to choose between filling your prescriptions and paying bills,Kiah Williams,1500000,45000,https://ted.com/talks/kiah_williams_you_shouldn_t_have_to_choose_between_filling_your_prescriptions_and_paying_bills,June,2020
The Japanese folktale of the selfish scholar,Iseult Gillespie,2100000,63000,https://ted.com/talks/iseult_gillespie_the_japanese_folktale_of_the_selfish_scholar,September,2020
The psychology of inequality and political division,Keith Payne,1900000,59000,https://ted.com/talks/keith_payne_the_psychology_of_inequality_and_political_division,February,2020
"""Distance"" / ""Sides""",Emily King,2900,88,https://ted.com/talks/emily_king_distance_sides,June,2020
"How to win an argument (at the US Supreme Court, or anywhere)",Neal Katyal,2200000,67000,https://ted.com/talks/neal_katyal_how_to_win_an_argument_at_the_us_supreme_court_or_anywhere,July,2020
A lesson in turning adversaries into allies,Leah Garcés,1700000,53000,https://ted.com/talks/leah_garces_a_lesson_in_turning_adversaries_into_allies,November,2019
What it takes to make change,Jacqueline Novogratz,1700000,52000,https://ted.com/talks/jacqueline_novogratz_what_it_takes_to_make_change,July,2020
Are all of your memories real?,Daniel L. Schacter,1600000,49000,https://ted.com/talks/daniel_l_schacter_are_all_of_your_memories_real,September,2020
"Dear Facebook, this is how you're breaking democracy",Yaël Eisenstat,1900000,57000,https://ted.com/talks/yael_eisenstat_dear_facebook_this_is_how_you_re_breaking_democracy,August,2020
4 steps to ending extreme poverty,Shameran Abed,1900000,57000,https://ted.com/talks/shameran_abed_4_steps_to_ending_extreme_poverty,June,2020
Why people fall for misinformation,Joseph Isaac,571000,17000,https://ted.com/talks/joseph_isaac_why_people_fall_for_misinformation,September,2020
How do daily habits lead to political violence?,Christiane-Marie Abu Sarah,1700000,53000,https://ted.com/talks/christiane_marie_abu_sarah_how_do_daily_habits_lead_to_political_violence,March,2020
Want to grow healthy food? Start with your lawn,John C. Trimble,44000,1300,https://ted.com/talks/john_c_trimble_want_to_grow_healthy_food_start_with_your_lawn,August,2020
Can you solve the sorting hat riddle?,Dan Katz and Alex Rosenthal,1900000,59000,https://ted.com/talks/dan_katz_and_alex_rosenthal_can_you_solve_the_sorting_hat_riddle,September,2020
Dignity isn't a privilege. It's a worker's right,Abigail Disney,1700000,53000,https://ted.com/talks/abigail_disney_dignity_isn_t_a_privilege_it_s_a_worker_s_right,May,2020
6 tips for better sleep,Matt Walker,1600000,50000,https://ted.com/talks/matt_walker_6_tips_for_better_sleep,September,2020
Why specializing early doesn't always mean career success,David Epstein,2300000,70000,https://ted.com/talks/david_epstein_why_specializing_early_doesn_t_always_mean_career_success,February,2020
The fish that walk on land,Noah R. Bressman,780000,23000,https://ted.com/talks/noah_r_bressman_the_fish_that_walk_on_land,August,2020
"Nature, folklore and serendipitous photo collaborations",Riitta Ikonen and Karoline Hjorth,173000,5200,https://ted.com/talks/riitta_ikonen_and_karoline_hjorth_nature_folklore_and_serendipitous_photo_collaborations,March,2020
"""Joey's Song"" / ""The Other Side"" / ""Lorena""	",Bob Schneider,2900,89,https://ted.com/talks/bob_schneider_joey_s_song_the_other_side_lorena,June,2020
What Saturn's most mysterious moon could teach us about the origins of life ,"Elizabeth ""Zibi"" Turtle",1800000,56000,https://ted.com/talks/elizabeth_zibi_turtle_what_saturn_s_most_mysterious_moon_could_teach_us_about_the_origins_of_life,June,2020
How to outsmart the Prisoner's Dilemma ,Lucas Husted,3700000,113000,https://ted.com/talks/lucas_husted_how_to_outsmart_the_prisoner_s_dilemma,August,2020
How the US medical community fails Black mothers,Wanda Irving,300000,9000,https://ted.com/talks/wanda_irving_how_the_us_medical_community_fails_black_mothers,March,2020
What it means to be intersex,Susannah Temko,1700000,53000,https://ted.com/talks/susannah_temko_what_it_means_to_be_intersex,May,2019
How much sleep do you really need?,Matt Walker,898000,26000,https://ted.com/talks/matt_walker_how_much_sleep_do_you_really_need,August,2020
Is the weather actually becoming more extreme?,R. Saravanan,486000,14000,https://ted.com/talks/r_saravanan_is_the_weather_actually_becoming_more_extreme,August,2020
The tyranny of merit,Michael Sandel,2100000,63000,https://ted.com/talks/michael_sandel_the_tyranny_of_merit,May,2020
Evolution's great mystery: Language,Michael Corballis,648000,19000,https://ted.com/talks/michael_corballis_evolution_s_great_mystery_language,August,2020
How animals and plants are evolving in cities,Menno Schilthuizen,1800000,56000,https://ted.com/talks/menno_schilthuizen_how_animals_and_plants_are_evolving_in_cities,May,2019
Why schools should teach for the real world,Ted Dintersmith,457000,13000,https://ted.com/talks/ted_dintersmith_why_schools_should_teach_for_the_real_world,July,2015
How game design can help schooling,Caitlin Holman,47000,1400,https://ted.com/talks/caitlin_holman_how_game_design_can_help_schooling,February,2017
Why we must stop dancing to the sound of our own oppression,Madame Gandhi,1800000,56000,https://ted.com/talks/madame_gandhi_why_we_must_stop_dancing_to_the_sound_of_our_own_oppression,July,2020
The rise of modern populism,Takis S. Pappas,495000,14000,https://ted.com/talks/takis_s_pappas_the_rise_of_modern_populism,August,2020
"Big data, small farms and a tale of two tomatoes",Erin Baumgartner,1800000,55000,https://ted.com/talks/erin_baumgartner_big_data_small_farms_and_a_tale_of_two_tomatoes,January,2019
How sleep can improve your immunity,Matt Walker,452000,13000,https://ted.com/talks/matt_walker_how_sleep_can_improve_your_immunity,August,2020
Can the ocean run out of oxygen?,Kate Slabosky,628000,18000,https://ted.com/talks/kate_slabosky_can_the_ocean_run_out_of_oxygen,August,2020
How doctors can help fix the broken US asylum system,Joseph Shin,145000,4300,https://ted.com/talks/joseph_shin_how_doctors_can_help_fix_the_broken_us_asylum_system,March,2020
Art in the age of machine intelligence,Refik Anadol,933000,28000,https://ted.com/talks/refik_anadol_art_in_the_age_of_machine_intelligence,July,2020
"When people are ""suspiciously kind""",Gina Brillon,42000,1200,https://ted.com/talks/gina_brillon_when_people_are_suspiciously_kind,December,2019
What's that ringing in your ears?,Marc Fagelson,5700000,172000,https://ted.com/talks/marc_fagelson_what_s_that_ringing_in_your_ears,August,2020
"Can we call it a ""world map"" if it's missing a billion people?",Rebecca Firth,1700000,51000,https://ted.com/talks/rebecca_firth_can_we_call_it_a_world_map_if_it_s_missing_a_billion_people,June,2020
"""Way Home"" / ""Warrior Heart""", Shawnee,4900,147,https://ted.com/talks/shawnee_way_home_warrior_heart,December,2019
A story of Brazil through a single iconic building,Denise Zmekhol,6500,196,https://ted.com/talks/denise_zmekhol_a_story_of_brazil_through_a_single_iconic_building,December,2019
What to do when everything feels broken,Daniel Alexander Jones,388000,11000,https://ted.com/talks/daniel_alexander_jones_what_to_do_when_everything_feels_broken,June,2020
"""White Lies"" / ""Turn It Around""", Lucius,53000,1500,https://ted.com/talks/lucius_white_lies_turn_it_around,June,2020
The last living members of an extinct species,Jan Stejskal,1000000,30000,https://ted.com/talks/jan_stejskal_the_last_living_members_of_an_extinct_species,August,2020
Why rumors about vaccines spread — and how to rebuild trust,Heidi Larson,369000,11000,https://ted.com/talks/heidi_larson_why_rumors_about_vaccines_spread_and_how_to_rebuild_trust,March,2020
What silence can teach you about sound,Dallas Taylor,1900000,59000,https://ted.com/talks/dallas_taylor_what_silence_can_teach_you_about_sound,May,2020
How sleep affects your emotions,Matt Walker,645000,19000,https://ted.com/talks/matt_walker_how_sleep_affects_your_emotions,August,2020
3 questions to ask yourself about US citizenship,Jose Antonio Vargas,1600000,50000,https://ted.com/talks/jose_antonio_vargas_3_questions_to_ask_yourself_about_us_citizenship,July,2020
Can you solve the cheating royal riddle?,Dan Katz,3100000,93000,https://ted.com/talks/dan_katz_can_you_solve_the_cheating_royal_riddle,August,2020
Can you outsmart the fallacy that fooled a generation of doctors?,Elizabeth Cox,1400000,42000,https://ted.com/talks/elizabeth_cox_can_you_outsmart_the_fallacy_that_fooled_a_generation_of_doctors,August,2020
How to build a resilient future using ancient wisdom,Julia Watson,405000,12000,https://ted.com/talks/julia_watson_how_to_build_a_resilient_future_using_ancient_wisdom,June,2020
Let's scan the whole planet with LiDAR,Chris Fisher,1700000,52000,https://ted.com/talks/chris_fisher_let_s_scan_the_whole_planet_with_lidar,November,2019
"The big-beaked, rock-munching fish that protect coral reefs",Mike Gil,385000,11000,https://ted.com/talks/mike_gil_the_big_beaked_rock_munching_fish_that_protect_coral_reefs,August,2020
The myth of Ireland's two greatest warriors,Iseult Gillespie,1000000,30000,https://ted.com/talks/iseult_gillespie_the_myth_of_ireland_s_two_greatest_warriors,August,2020
Newton's three-body problem explained,Fabio Pacucci,1100000,34000,https://ted.com/talks/fabio_pacucci_newton_s_three_body_problem_explained,August,2020
Can you solve the honeybee riddle?,Dan Finkel,1700000,51000,https://ted.com/talks/dan_finkel_can_you_solve_the_honeybee_riddle,July,2020
Ethical dilemma: The burger murders,George Siedel and Christine Ladwig,1600000,49000,https://ted.com/talks/george_siedel_and_christine_ladwig_ethical_dilemma_the_burger_murders,July,2020
No one can figure out how eels have sex,Lucy Cooke,2500000,76000,https://ted.com/talks/lucy_cooke_no_one_can_figure_out_how_eels_have_sex,July,2020
What's the connection between sleep and Alzheimer's disease?,Matt Walker,733000,22000,https://ted.com/talks/matt_walker_what_s_the_connection_between_sleep_and_alzheimer_s_disease,August,2020
How schools should respond to COVID-19,Nora Flanagan,133000,4000,https://ted.com/talks/nora_flanagan_how_schools_should_respond_to_covid_19,June,2020
A stock market for social justice,ZigZag,1500000,46000,https://ted.com/talks/zigzag_a_stock_market_for_social_justice,August,2020
Innovations in sleep, Beautyrest,60000,1800,https://ted.com/talks/beautyrest_innovations_in_sleep,January,1970
Hacking your memory — with sleep,Matt Walker,853000,25000,https://ted.com/talks/matt_walker_hacking_your_memory_with_sleep,July,2020
Love letters to what we hold dear,Debbie Millman,192000,5700,https://ted.com/talks/debbie_millman_love_letters_to_what_we_hold_dear,January,1970
Can light stop the coronavirus?,David Brenner,1900000,57000,https://ted.com/talks/david_brenner_can_light_stop_the_coronavirus,July,2020
How do our brains process speech?,Gareth Gaskell,568000,17000,https://ted.com/talks/gareth_gaskell_how_do_our_brains_process_speech,July,2020
Give yourself permission to be creative,Ethan Hawke,3700000,112000,https://ted.com/talks/ethan_hawke_give_yourself_permission_to_be_creative,June,2020
"Deep learning, neural networks and the future of AI",Yann LeCun,256000,7600,https://ted.com/talks/yann_lecun_deep_learning_neural_networks_and_the_future_of_ai,June,2020
How to connect while apart,Eric Yuan,213000,6400,https://ted.com/talks/eric_yuan_how_to_connect_while_apart,July,2020
How caffeine and alcohol affect your sleep,Matt Walker,1600000,49000,https://ted.com/talks/matt_walker_how_caffeine_and_alcohol_affect_your_sleep,July,2020
The case for restorative justice in juvenile courts,Wesley Saint Clair,24000,727,https://ted.com/talks/wesley_saint_clair_the_case_for_restorative_justice_in_juvenile_courts,November,2016
Designing for justice,Antionette Carroll,22000,673,https://ted.com/talks/antionette_carroll_designing_for_justice,May,2017
COVID-19 unraveled the workforce. Here's how to fix it,Mary L. Gray,222000,6600,https://ted.com/talks/mary_l_gray_covid_19_unraveled_the_workforce_here_s_how_to_fix_it,July,2020
"The myth of Jason, Medea, and the Golden Fleece",Iseult Gillespie,1000000,30000,https://ted.com/talks/iseult_gillespie_the_myth_of_jason_medea_and_the_golden_fleece,July,2020
5 needs that any COVID-19 response should meet,Kwame Owusu-Kesse,1700000,51000,https://ted.com/talks/kwame_owusu_kesse_5_needs_that_any_covid_19_response_should_meet,June,2020
The rise and fall of the Celtic warriors,Philip Freeman,1000000,30000,https://ted.com/talks/philip_freeman_the_rise_and_fall_of_the_celtic_warriors,July,2020
New ways to understand life in a pandemic,Aaron Maniam,235000,7000,https://ted.com/talks/aaron_maniam_new_ways_to_understand_life_in_a_pandemic,June,2020
The fight for civil rights and freedom,John Lewis and Bryan Stevenson,2600000,79000,https://ted.com/talks/john_lewis_and_bryan_stevenson_the_fight_for_civil_rights_and_freedom,November,2019
A call to end the media coverage mass shooters want ,Tom Teves,1700000,53000,https://ted.com/talks/tom_teves_a_call_to_end_the_media_coverage_mass_shooters_want,November,2019
A new stock exchange focused on the long-term,Michelle Greene,229000,6800,https://ted.com/talks/michelle_greene_a_new_stock_exchange_focused_on_the_long_term,June,2020
Las historias de la Historia | Javier Olivares | TEDxMadrid,Javier Olivares,55000,1600,https://ted.com/talks/javier_olivares_las_historias_de_la_historia,September,2016
How love can help repair social inequality,Chloé Valdary,1800000,55000,https://ted.com/talks/chloe_valdary_how_love_can_help_repair_social_inequality,June,2020
The Egyptian myth of the death of Osiris,Alex Gendler,2500000,77000,https://ted.com/talks/alex_gendler_the_egyptian_myth_of_the_death_of_osiris,July,2020
What if you could help decide how the government spends public funds?,Shari Davis,1700000,52000,https://ted.com/talks/shari_davis_what_if_you_could_help_decide_how_the_government_spends_public_funds,July,2020
Want a more just world? Be an unlikely ally,Dwinita Mosby Tyler,2000000,62000,https://ted.com/talks/dwinita_mosby_tyler_want_a_more_just_world_be_an_unlikely_ally,November,2019
How city mayors are taking action on climate change,Eric Garcetti,1500000,46000,https://ted.com/talks/eric_garcetti_how_city_mayors_are_taking_action_on_climate_change,July,2020
A walk through the stages of sleep,Matt Walker,751000,22000,https://ted.com/talks/matt_walker_a_walk_through_the_stages_of_sleep,July,2020
A blueprint for reparations in the US,"William ""Sandy"" Darity",1700000,53000,https://ted.com/talks/william_sandy_darity_a_blueprint_for_reparations_in_the_us,June,2020
The race to decode a mysterious language,Susan Lupack,773000,23000,https://ted.com/talks/susan_lupack_the_race_to_decode_a_mysterious_language,July,2020
The invisible life hidden beneath Antarctica's ice,Ariel Waldman,1600000,49000,https://ted.com/talks/ariel_waldman_the_invisible_life_hidden_beneath_antarctica_s_ice,May,2020
Why violence clusters in cities — and how to reduce it,Thomas Abt,200000,6000,https://ted.com/talks/thomas_abt_why_violence_clusters_in_cities_and_how_to_reduce_it,March,2020
What makes volcanoes erupt?,Steven Anderson,1200000,38000,https://ted.com/talks/steven_anderson_what_makes_volcanoes_erupt,July,2020
What happens when biology becomes technology?,Christina Agapakis,1900000,57000,https://ted.com/talks/christina_agapakis_what_happens_when_biology_becomes_technology,June,2020
Rethinking education and celebrating the Arabic language,Ahmad M. Hasnah,3900,117,https://ted.com/talks/ahmad_m_hasnah_rethinking_education_and_celebrating_the_arabic_language,June,2020
"Activism, changemakers and hope for the future",Malala Yousafzai,2000000,61000,https://ted.com/talks/malala_yousafzai_activism_changemakers_and_hope_for_the_future,July,2020
How to disrupt philanthropy in response to crisis,Darren Walker,247000,7400,https://ted.com/talks/darren_walker_how_to_disrupt_philanthropy_in_response_to_crisis,July,2020
How museums help communities heal,Honor Harger,190000,5700,https://ted.com/talks/honor_harger_how_museums_help_communities_heal,June,2020
What happened when the United States tried to ban alcohol ,Rod Phillips,572000,17000,https://ted.com/talks/rod_phillips_what_happened_when_the_united_states_tried_to_ban_alcohol,July,2020
"Every day you live, you impact the planet",Jane Goodall,2000000,61000,https://ted.com/talks/jane_goodall_every_day_you_live_you_impact_the_planet,May,2020
"A friendly, autonomous robot that delivers your food",Ali Kashani,1800000,56000,https://ted.com/talks/ali_kashani_a_friendly_autonomous_robot_that_delivers_your_food,June,2020
The transformative role of art during the pandemic,Anne Pasternak,203000,6000,https://ted.com/talks/anne_pasternak_the_transformative_role_of_art_during_the_pandemic,June,2020
The future of digital communication and privacy,Will Cathcart,224000,6700,https://ted.com/talks/will_cathcart_the_future_of_digital_communication_and_privacy,June,2020
The tale of the boy who tricked the Devil,Iseult Gillespie,4400000,134000,https://ted.com/talks/iseult_gillespie_the_tale_of_the_boy_who_tricked_the_devil,July,2020
The COVID-19 crisis is a chance to do capitalism differently,Mariana Mazzucato,228000,6800,https://ted.com/talks/mariana_mazzucato_the_covid_19_crisis_is_a_chance_to_do_capitalism_differently,June,2020
"""Peaceful Afternoon"" / ""Going To A Town""",Rufus Wainwright,15000,463,https://ted.com/talks/rufus_wainwright_peaceful_afternoon_going_to_a_town,May,2020
How COVID-19 impacted a global tech company and spurred innovation,Craig Silliman,14000,449,https://ted.com/talks/craig_silliman_how_covid_19_impacted_a_global_tech_company_and_spurred_innovation,June,2020
The greatest mathematician that never lived,Pratik Aghor,2300000,70000,https://ted.com/talks/pratik_aghor_the_greatest_mathematician_that_never_lived,July,2020
Africa is a sleeping giant — I'm trying to wake it up,Adeola Fayehun,2300000,69000,https://ted.com/talks/adeola_fayehun_africa_is_a_sleeping_giant_i_m_trying_to_wake_it_up,May,2020
The last chief of the Comanches and the fall of an empire,Dustin Tahmahkera,277000,8300,https://ted.com/talks/dustin_tahmahkera_the_last_chief_of_the_comanches_and_the_fall_of_an_empire,June,2020
Can you solve the Ragnarok riddle?,Dan Finkel,4200000,128000,https://ted.com/talks/dan_finkel_can_you_solve_the_ragnarok_riddle,June,2020
What do all languages have in common?,Cameron Morin,872000,26000,https://ted.com/talks/cameron_morin_what_do_all_languages_have_in_common,June,2020
Oberammergau,Far Flung,1200000,36000,https://ted.com/talks/far_flung_oberammergau,July,2020
Scenes from a Black trans life,D-L Stewart,1800000,54000,https://ted.com/talks/d_l_stewart_scenes_from_a_black_trans_life,March,2019
Can beauty open our hearts to difficult conversations?,Titus Kaphar,260000,7800,https://ted.com/talks/titus_kaphar_can_beauty_open_our_hearts_to_difficult_conversations,June,2020
How the pandemic will shape the near future,Bill Gates,4600000,138000,https://ted.com/talks/bill_gates_how_the_pandemic_will_shape_the_near_future,June,2020
The courage to live with radical uncertainty,Shekinah Elmore,264000,7900,https://ted.com/talks/shekinah_elmore_the_courage_to_live_with_radical_uncertainty,March,2020
What foods did your ancestors love?,Aparna Pallavi,2100000,63000,https://ted.com/talks/aparna_pallavi_what_foods_did_your_ancestors_love,December,2018
Stop being a bystander in your own life,Tracy Edwards,2400000,74000,https://ted.com/talks/tracy_edwards_stop_being_a_bystander_in_your_own_life,May,2020
"The trials, tribulations and timeline of a COVID-19 vaccine",Jerome Kim,256000,7600,https://ted.com/talks/jerome_kim_the_trials_tribulations_and_timeline_of_a_covid_19_vaccine,June,2020
3 ways we can redesign cities for equity and inclusion,Vishaan Chakrabarti,1800000,56000,https://ted.com/talks/vishaan_chakrabarti_3_ways_we_can_redesign_cities_for_equity_and_inclusion,May,2020
"How women will lead us to freedom, justice and peace",H.E. Ellen Johnson Sirleaf,1900000,58000,https://ted.com/talks/h_e_ellen_johnson_sirleaf_how_women_will_lead_us_to_freedom_justice_and_peace,December,2019
"How organizations can create safe, inviting workplaces for returning employees",James Ludwig,8700,262,https://ted.com/talks/james_ludwig_how_organizations_can_create_safe_inviting_workplaces_for_returning_employees,June,2020
The beauty and complexity of finding common ground,Matt Trombley,610000,18000,https://ted.com/talks/matt_trombley_the_beauty_and_complexity_of_finding_common_ground,February,2020
How Dolly Parton led me to an epiphany,Jad Abumrad,2700000,81000,https://ted.com/talks/jad_abumrad_how_dolly_parton_led_me_to_an_epiphany,June,2020
The new urgency of climate change,Al Gore,2300000,70000,https://ted.com/talks/al_gore_the_new_urgency_of_climate_change,June,2020
First person vs. Second person vs. Third person,Rebekah Bergman,673000,20000,https://ted.com/talks/rebekah_bergman_first_person_vs_second_person_vs_third_person,June,2020
The case to infect volunteers with COVID-19 to accelerate vaccine testing,Nir Eyal,2000000,62000,https://ted.com/talks/nir_eyal_the_case_to_infect_volunteers_with_covid_19_to_accelerate_vaccine_testing,June,2020
How to support and celebrate living artists,Swizz Beatz,1800000,55000,https://ted.com/talks/swizz_beatz_how_to_support_and_celebrate_living_artists,June,2020
A vision for the future of Afghanistan,Ashraf Ghani,263000,7900,https://ted.com/talks/ashraf_ghani_a_vision_for_the_future_of_afghanistan,June,2020
"The Factory | Think Like A Coder, Ep 9",Alex Rosenthal,322000,9600,https://ted.com/talks/alex_rosenthal_the_factory_think_like_a_coder_ep_9,June,2020
Why is colonialism (still) romanticized?,Farish Ahmad-Noor,2000000,61000,https://ted.com/talks/farish_ahmad_noor_why_is_colonialism_still_romanticized,September,2019
